"Cargo type"," (Weight)"
"080390",
"0804","23391"
"080410","58615.8"
"080420",
"080430",
"080450",
"0805","871462"
"080510","1177259"
"08051022",
"08051080",
"080520",
"080521","23712"
"080522",
"080540","20841"
"080550",
"08055020",
"080590",
"0806","477076.8"
"080610",
"080620","42020"
"08062030",
"0808",
"080810",
"080830","74406"
"0810",
"081010",
"081040",
"081090",
"08109075",
"0811","738762"
"081110","23320"
"081120","51467"
"081190","44444"
"08119011",
"08119020",
"08119050",
"08119099",
"0813","42114.7"
"081310","109320"
"081320","52075.85"
"08132000",
"08132020",
"081330",
"08134095",
"081400",
"0901","1026485.16"
"090110",
"090111","1001752.8"
"09011100",
"0901110010",
"0901110090",
"090121","21016.5"
"09012100",
"090122",
"09019010",
"0902","956410.84"
"090210","12410.91"
"09021000",
"090220",
"090230","14853.11"
"09023000",
"090240","26165.5"
"0903",
"090300",
"0904","31258"
"090411","55132"
"09041100",
"090422",
"090520",
"0906","30240"
"090611",
"090619",
"090620",
"09062000",
"0907","20400"
"090710","20400"
"0908","21872"
"090812",
"090821",
"09083100",
"0909","115384"
"090930",
"090931","7019.6"
"090961",
"090962",
"0910","114137.75"
"091010",
"091011",
"09101100",
"091012",
"091030",
"091091",
"091099","18891.6"
"09109910",
"09109933",
"094011",
"1001","287007885"
"100110",
"10011100","35700000"
"10011900","294635876"
"100119900",
"10019",
"1001902005",
"1001909990",
"10019120","881920"
"10019190","33000000"
"100199",
"1001990",
"10019900","505024312"
"100199000",
"1001990013",
"1001990094",
"10019910",
"1002","7306400"
"1002000000",
"100210",
"10021000",
"10021010",
"10029000","3799200"
"1003","25985472"
"100300",
"1003009090",
"10031000","8550000"
"10039000","14907833"
"1004","6287100"
"10040000",
"1004000000",
"100410",
"10041000",
"100490",
"10049000","21099925"
"1005","20616"
"100510","10428"
"10051015",
"100590","26192.4"
"10059000","38974400"
"1006","508352"
"10061079","25000"
"100620",
"100630","829352.2"
"10063010",
"10063021",
"10063090",
"10063094",
"10063098",
"100640",
"1007","22900"
"1008","7265891"
"100800",
"10081000","2100000"
"100829","174680"
"100850","22280"
"100860",
"10086000","7000240"
"1019900",
"1033",
"1040",
"10412900",
"1053",
"1101","2454185.44"
"110100","4062437.936"
"11010000",
"1101000020",
"11010011",
"11010015","503700"
"110220",
"11022010",
"110290",
"11029010",
