id,Stop_name,Stop_code,Common_code,Latitude,Longitude,Road_side,Road_number,Street,County,Parish,Village
"1","Meža māja","15305","5514","56.9495100","23.5123491","Kreisā","","Tūristu iela","Jūrmala","",""
"2","Meža māja","15306","5514","56.9497580","23.5132277","Labā","","Tūristu iela","Jūrmala","",""
"3","Ogres Kalna pamatskola","11560","301","56.8166902","24.6076858","Labā","","Kalna prospekts","Ogres novads","Ogres pilsēta","Ogre"
"4","Ogres Kalna pamatskola","11528","301","56.8168269","24.6074461","Kreisā","","Kalna prospekts","Ogres novads","Ogres pilsēta","Ogre"
"6","18. kilometrs","15308","5517","57.0279989","24.3632728","Kreisā","A2","","Ropažu novads","",""
"7","18. kilometrs","15309","5517","57.0280886","24.3647022","Labā","A2","","Ropažu novads","",""
"8","25.CR","12580","721","56.4823655","23.0859993","Kreisā","P96","","Auces novads","Bēnes pagasts","Bēne"
"9","25.CR","13029","721","56.4825882","23.0851327","Labā","P96","","Auces novads","Bēnes pagasts","Bēne"
"10","6.līnija","15310","5519","56.6524624","23.6416042","Kreisā","P97","Dobeles šoseja","Jelgava","",""
"11","A. Pumpura iela","15311","5520","56.8185385","24.5886998","Kreisā","","Andreja Pumpura iela","Ogres novads","Ogres pilsēta","Ogre"
"12","A. Pumpura iela","15312","5520","56.8189030","24.5888263","Labā","","Andreja Pumpura iela","Ogres novads","Ogres pilsēta","Ogre"
"13","A.Upīša iela","15313","5533","56.8198995","24.5767975","Labā","","Jaunogres prospekts","Ogres novads","Ogres pilsēta","Ogre"
"14","A.Upīša iela","15314","5533","56.8199419","24.5774440","Kreisā","","Jaunogres prospekts","Ogres novads","Ogres pilsēta","Ogre"
"15","A/S Jūrmalas celtnieks","11892","333","56.9621928","23.7722089","Kreisā","","Slokas iela","Jūrmala","",""
"16","A/S Jūrmalas celtnieks","11841","333","56.9630515","23.7721544","Labā","","Slokas iela","Jūrmala","",""
"17","A/s Preiļu siers","13030","730","56.2791336","26.7195925","Labā","V752","Andreja Upīša iela 1","Preiļu novads","Preiļu pagasts",""
"18","A/S Ruks","15315","781","57.3011920","25.2633468","Labā","","Krūmiņu iela 19","Cēsu novads","Cēsu pilsēta","Cēsis"
"19","AAS","15316","5534","57.4964302","22.8224457","Labā","P131","","Rojas novads","","Roja"
"20","AAS","15317","5534","57.4958460","22.8225740","Kreisā","P131","Selgas iela ","Rojas novads","","Roja"
"21","Dāvji","13031","733","56.7193466","24.1112348","Labā","V7","","Olaines novads","Olaines pagasts","Dāvi"
"22","Dāvji","13032","733","56.7202383","24.1114136","Kreisā","V7","","Olaines novads","Olaines pagasts","Dāvi"
"23","Ābelītes","13033","738","56.8096453","24.6480498","Kreisā","V967","J.Čakstes prospekts","Ogres novads","Ogres pilsēta","Ogre"
"24","Ābelītes","13034","739","57.3246764","26.8407863","Kreisā","V396","","Alūksnes novads","Kalncempju pagasts",""
"25","Ābelītes","13035","739","57.3247004","26.8407637","Labā","V396","","Alūksnes novads","Kalncempju pagasts",""
"26","Āboli","13036","741","55.8710866","26.3139195","Labā","V696","","Daugavpils novads","Sventes pagasts",""
"27","Āboli","13037","741","55.8712715","26.3138599","Kreisā","V696","","Daugavpils novads","Sventes pagasts",""
"28","Uzņēmumu parks","15318","5535","56.9146774","24.2859596","Labā","V35","","Salaspils novads","","Acone"
"29","Uzņēmumu parks","15319","5535","56.9147829","24.2844180","Kreisā","V35","","Salaspils novads","","Acone"
"31","Ādažu iela","15321","5539","57.0131794","24.2595867","Labā","","Ādažu iela","Ropažu novads","","Bukulti"
"32","Ādažu iela","15322","5539","57.0142902","24.2594762","Kreisā","","Ādažu iela","Ropažu novads","","Bukulti"
"34","Ādiņas","13120","922","56.8796140","24.1729634","Labā","V2","","Ķekavas novads","Ķekavas pagasts","Katlakalns"
"35","Ādiņas","13121","922","56.8797002","24.1728810","Kreisā","V2","","Ķekavas novads","Ķekavas pagasts","Katlakalns"
"36","Adzelvieši","13276","1345","57.7258893","25.3287501","Kreisā","V231","","Burtnieku novads","Burtnieku pagasts",""
"37","Adzelvieši","13277","1345","57.7258992","25.3287443","Labā","V231","","Burtnieku novads","Burtnieku pagasts",""
"38","Aizcirtums","13777","2531","57.4208406","27.1696184","Labā","V400","","Alūksnes novads","Jaunalūksnes pagasts",""
"39","Aizcirtums","13778","2531","57.4210219","27.1694766","Kreisā","V400","","Alūksnes novads","Jaunalūksnes pagasts",""
"40","Aizelkšņi","13253","1248","56.7968777","27.6375010","Labā","P48","","Kārsavas novads","Salnavas pagasts",""
"41","Aizelkšņi","13254","1248","56.7969744","27.6397803","Kreisā","P48","","Kārsavas novads","Salnavas pagasts",""
"42","Aizklāņi","15324","5542","57.6672248","22.5702412","Kreisā","P131","","Rojas novads","","Melnsils"
"43","Aizklāņi","15325","5542","57.6678935","22.5705806","Labā","P131","","Rojas novads","","Melnsils"
"44","Aizkraukles iela","15326","5543","56.5197320","25.8500900","Labā","A6","Rīgas iela","Jēkabpils","",""
"45","Aizkraukles iela","15327","5543","56.5204634","25.8488672","Kreisā","A6","Rīgas iela","Jēkabpils","",""
"46","Aizkraukles kultūras nams","15328","5550","56.6155191","25.2247657","Labā","","Kalna iela 20","Aizkraukles novads","Aizkraukles pagasts","Aizkraukle"
"47","Aizkraukles kultūras nams","15329","5550","56.6155212","25.2254486","Kreisā","","Kalna iela 20","Aizkraukles novads","Aizkraukles pagasts","Aizkraukle"
"48","Aizkraukles pagasts","15330","8281","56.6169493","25.2188174","A/V","","Kalna iela 4","Aizkraukles novads","Aizkraukles pagasts","Aizkraukle"
"49","Aizmeži","13383","1655","57.5906250","25.2290635","Labā","V216","","Kocēnu novads","Bērzaines pagasts",""
"50","Aizmeži","13384","1655","57.5906297","25.2290373","Kreisā","V216","","Kocēnu novads","Bērzaines pagasts",""
"51","Aizpūre","15018","4854","56.5832098","27.9846950","Kreisā","V509","","Ciblas novads","Līdumnieku pagasts",""
"52","Aizpūre","15019","4854","56.5832334","27.9847476","Labā","V509","","Ciblas novads","Līdumnieku pagasts",""
"53","Aizupes","9177","203","56.6946300","23.8024502","A/V","P100","Rīgas iela","Ozolnieku novads","Ozolnieku pagasts","Ozolnieki"
"56","Akmeņdruvas","13996","2894","57.5039362","27.3596585","Labā","V392","","Alūksnes novads","Pededzes pagasts",""
"57","Akmeņdruvas","13997","2894","57.5039683","27.3593982","Kreisā","V392","","Alūksnes novads","Pededzes pagasts",""
"58","Akmeņdruvas","13998","2896","57.4307980","27.4420880","Labā","P42","","Alūksnes novads","Pededzes pagasts",""
"59","Akmeņdruvas","13999","2896","57.4306420","27.4419590","Kreisā","P42","","Alūksnes novads","Pededzes pagasts",""
"60","Akmeņdziras","15194","9567","57.4820026","21.6711893","Kreisā","P124","","Ventspils novads","Tārgales pagasts",""
"61","Akmeņkalni","14529","3849","57.9994577","25.0426969","Labā","V170","","Mazsalacas novads","Ramatas pagasts",""
"62","Akmeņkalni","14530","3849","58.0000460","25.0415314","Kreisā","V170","","Mazsalacas novads","Ramatas pagasts",""
"63","Akmeņkalni","13842","2676","57.7441832","24.3949710","Kreisā","P12","","Salacgrīvas novads","Salacgrīvas pagasts",""
"64","Akmeņkalni","13843","2676","57.7444896","24.3942193","Labā","P12","","Salacgrīvas novads","Salacgrīvas pagasts",""
"65","Akmeņu iela","15331","5556","56.4981352","25.8621460","Kreisā","","Pasta iela 73-75","Jēkabpils","",""
"66","Akmeņu iela","14446","3741","56.8044805","24.6103194","Labā","","Daugavpils Iela","Ogres novads","Ogres pilsēta","Ogre"
"67","Akmeņu iela","14447","3741","56.8046178","24.6106361","Kreisā","","Daugavpils Iela","Ogres novads","Ogres pilsēta","Ogre"
"68","aknīste","13603","2077","56.1607313","25.7490033","A/V","P73","Augšzemes iela 19","Aknīstes novads","Aknīstes pilsēta","Aknīste"
"69","Aknīstes vidusskola","11575","9609","56.1633306","25.7369725","A/V","","Skolas iela 19","Aknīstes novads","Aknīstes pilsēta","Aknīste"
"70","Aksenova","15197","5192","56.1963390","27.6890991","Kreisā","P49","","Dagdas novads","Ezernieku pagasts",""
"71","Aksenova","15198","5192","56.1965175","27.6893483","Labā","P49","","Dagdas novads","Ezernieku pagasts",""
"72","Akurātera iela","15332","5557","56.4884222","25.8833255","Labā","","Brīvības iela 6","Jēkabpils","",""
"73","Ālande","14904","4623","56.5079600","21.1713400","Labā","P113","","Grobiņas novads","Grobiņas pagasts",""
"74","Ālande","14905","4623","56.5075300","21.1712100","Kreisā","P113","","Grobiņas novads","Grobiņas pagasts",""
"75","Albatross","13472","1886","57.1097984","23.2209854","Kreisā","P131","","Engures novads","Engures pagasts",""
"76","Albatross","13473","1886","57.1102983","23.2209619","Labā","P131","","Engures novads","Engures pagasts",""
"77","Aldaunas iela","15333","5563","56.4791540","25.8780465","Labā","","Aldaunas iela 19","Jēkabpils","",""
"78","Alejas","15241","5358","56.5354648","21.3957234","Labā","V1206","","Durbes novads","Tadaiķu pagasts",""
"79","Alejas","15242","5358","56.5354925","21.3959670","Kreisā","V1206","","Durbes novads","Tadaiķu pagasts",""
"80","Alekši","14408","3701","57.2219556","21.4584432","Kreisā","P111","","Ventspils novads","Užavas pagasts",""
"81","Alekši","14409","3701","57.2216790","21.4579677","Labā","P111","","Ventspils novads","Užavas pagasts","Užava"
"82","Alkšņi","13517","1954","56.1230943","26.0680342","A/V","V708","","Jēkabpils novads","Rubenes pagasts",""
"83","Alkšņi","14281","3497","56.8664388","22.7622913","Labā","V1459","","Kandavas novads","Zantes pagasts",""
"84","Alkšņi","14282","3497","56.8675904","22.7604679","Kreisā","V1459","","Kandavas novads","Zantes pagasts",""
"85","Alkšņi","15123","4990","56.7447566","24.6684891","Labā","P85","","Ķeguma novads","Tomes pagasts",""
"86","Alkšņi","15124","4990","56.7448290","24.6680702","Kreisā","P85","","Ķeguma novads","Tomes pagasts",""
"87","Alkšņu iela","15334","5565","56.8755213","23.9457984","Labā","","Ozolu iela","Mārupes novads","","Jaunmārupe"
"88","Almāle","15335","5570","56.9815737","21.6358802","A/V","V1285","","Alsungas novads","",""
"89","Altkirha","14399","3682","55.8438174","26.4432790","Kreisā","A13","","Daugavpils novads","Kalkūnes pagasts",""
"90","Altkirha","14400","3682","55.8441381","26.4432700","Labā","A13","","Daugavpils novads","Kalkūnes pagasts",""
"92","Aļkovka","14029","2923","56.5545615","27.2657540","Labā","V575","","Rēzeknes novads","Audriņu pagasts",""
"93","Amatas pagrieziens","14492","3804","57.2320535","25.2734553","Kreisā","P31","","Amatas novads","Drabešu pagasts",""
"94","Amatas pagrieziens","14493","3804","57.2320919","25.2735271","Labā","P31","","Amatas novads","Drabešu pagasts",""
"95","Amatnieki","15336","5572","56.9685253","24.3386475","Kreisā","","","Ropažu novads","","Amatnieki"
"96","Amatnieki","15337","5572","56.9698078","24.3399085","Labā","","","Ropažu novads","","Amatnieki"
"97","Amatnieku iela","13632","2190","56.8126647","24.6402398","Kreisā","V996","Brīvības iela","Ogres novads","Ogres pilsēta","Ogre"
"98","Amatnieku iela","13633","2190","56.8129400","24.6420185","Labā","V996","Brīvības iela","Ogres novads","Ogres pilsēta","Ogre"
"99","Ambulance","14569","3908","57.1861285","25.6850693","Labā","V325","","Vecpiebalgas novads","Dzērbenes pagasts","Dzērbene"
"100","Ambulance","14570","3908","57.1863320","25.6851520","Kreisā","V325","","Vecpiebalgas novads","Dzērbenes pagasts","Dzērbene"
"101","Antāni","13438","1818","56.0909359","26.8564479","Kreisā","V684","","Daugavpils novads","Višķu pagasts",""
"102","Antāni","13439","1818","56.0915186","26.8571037","Labā","V684","","Daugavpils novads","Višķu pagasts",""
"103","Antanišķi","13461","1852","56.2262839","26.8938928","Labā","V744","","Riebiņu novads","Rušonas pagasts",""
"104","Antanišķi","13462","1852","56.2264239","26.8940208","Kreisā","V744","","Riebiņu novads","Rušonas pagasts",""
"105","Antēni","13849","2696","56.5044813","22.9145456","Kreisā","V1128","","Auces novads","Lielauces pagasts",""
"106","Antēni","13850","2696","56.5045304","22.9145021","Labā","V1128","","Auces novads","Lielauces pagasts",""
"107","Antiņēni","15110","4982","56.8956676","26.0028601","Kreisā","V884","","Madonas novads","Aronas pagasts",""
"108","Antiņēni","15111","4982","56.8957041","26.0029157","Labā","V884","","Madonas novads","Aronas pagasts",""
"109","Antskalni","14247","3414","57.0081519","26.0902783","Labā","V840","","Madonas novads","Liezēres pagasts",""
"110","Antskalni","14248","3414","57.0085287","26.0900992","Kreisā","V840","","Madonas novads","Liezēres pagasts",""
"112","Apsāni","13048","7526","56.2102135","26.9411628","Kreisā","V744","","Riebiņu novads","Rušonas pagasts",""
"113","Apši","15028","4861","56.5825336","27.5415596","Labā","V550","","Rēzeknes novads","Lendžu pagasts",""
"114","Apši","15029","4861","56.5826389","27.5415307","Kreisā","V550","","Rēzeknes novads","Lendžu pagasts",""
"115","Āpši","15339","5574","56.7690624","24.6579492","Labā","","Celmlaužu iela","Ogres novads","Ogresgala pagasts","Ciemupe"
"116","Apšukalni","13948","2847","56.8160908","24.0627968","Labā","V7","","Olaines novads","Olaines pagasts","Apšukalni"
"117","Apšukalni","13949","2847","56.8164660","24.0629910","Kreisā","V7","","Olaines novads","Olaines pagasts","Apšukalni"
"118","Aptekas","13819","2645","56.3804750","26.4179330","Kreisā","V761","","Līvānu novads","Rudzātu pagasts","Rudzāti"
"119","Aptekas","13820","2645","56.3819080","26.4197460","Labā","V761","","Līvānu novads","Rudzātu pagasts","Rudzāti"
"120","Aptieka","15139","5000","56.9145942","22.5547835","Labā","V1430","","Kandavas novads","Vānes pagasts",""
"121","Aptieka","15199","5197","56.7131594","26.1896808","Labā","P82","Aiviekstes iela 10","Madonas novads","Ļaudonas pagasts","Ļaudona"
"122","Aptieka","15200","5197","56.7133886","26.1890508","Kreisā","P82","Aiviekstes iela 7","Madonas novads","Ļaudonas pagasts","Ļaudona"
"123","Apvedceļš","15340","5575","56.9858412","24.3217467","Kreisā","","","Ropažu novads","","Upesciems"
"124","Arāji","13126","930","57.1037667","25.6334220","Kreisā","V309","","Vecpiebalgas novads","Taurenes pagasts",""
"125","Arāji","13127","930","57.1037762","25.6334497","Labā","V309","","Vecpiebalgas novads","Taurenes pagasts",""
"126","Ārdava","13634","2203","56.1416046","26.8297349","A/V","V747","","Preiļu novads","Pelēču pagasts","Ārdava"
"127","Arodskola","15341","5576","56.6081633","25.2587349","Kreisā","","Jaunceltnes iela 21","Aizkraukles novads","Aizkraukles pilsēta","Aizkraukle"
"128","Aronieši","14224","3372","56.6840124","26.0046730","Labā","P82","","Madonas novads","Kalsnavas pagasts",""
"129","Aronieši","14225","3372","56.6840966","26.0055633","Kreisā","P82","","Madonas novads","Kalsnavas pagasts",""
"130","Aronmūrnieki","13168","983","56.7372325","26.0890065","Labā","V877","","Madonas novads","Mārcienas pagasts",""
"131","Aronmūrnieki","13169","983","56.7374613","26.0890956","Kreisā","V877","","Madonas novads","Mārcienas pagasts",""
"132","Asfalta rūpnīca","15342","5580","56.9478725","23.6290025","Labā","","Ventspils šoseja","Jūrmala","",""
"133","Asfalta rūpnīca","15343","5580","56.9479116","23.6281088","Kreisā","","Ventspils šoseja","Jūrmala","",""
"134","Asīte","13701","2410","56.4804235","21.7287723","Kreisā","P106","","Priekules novads","Priekules pagasts","Asīte"
"135","Asīte","13702","2410","56.4804450","21.7288671","Labā","P106","","Priekules novads","Priekules pagasts","Asīte"
"136","Aspazijas muzejs","15344","5581","56.9719973","23.7821329","Labā","","Zigfrīda Meierovica prospekts","Jūrmala","",""
"137","Aspazijas muzejs","15345","5581","56.9720356","23.7831874","Kreisā","","Zigfrīda Meierovica prospekts","Jūrmala","",""
"138","Astiči","13851","2700","56.2937339","27.5044315","Labā","P56","","Rēzeknes novads","Kaunatas pagasts",""
"139","Astiči","13852","2700","56.2945282","27.5050676","Kreisā","P56","","Rēzeknes novads","Kaunatas pagasts",""
"140","Asūne","15284","1052","56.0258229","27.6208926","","","","Dagdas novads","Asūnes pagasts","Asúne"
"141","Ataugas","13623","2176","55.8403904","26.4808957","Kreisā","V695","Kalkūnes iela 25","Daugavpils novads","Kalkūnes pagasts","Kalkūni"
"142","Ataugas","13624","2176","55.8406025","26.4808359","Labā","V695","Kalkūnes iela 25","Daugavpils novads","Kalkūnes pagasts","Kalkūni"
"143","Atbalss iela","15346","5592","56.9464969","23.6432416","Kreisā","","Jūrkalnes iela","Jūrmala","",""
"144","Atbalss iela","15347","5592","56.9466481","23.6429984","Labā","","Jūrkalnes iela","Jūrmala","",""
"145","Atpiļi","14733","4073","57.5571102","25.7327833","Labā","V241","","Beverīnas novads","Trikātas pagasts",""
"146","Atpiļi","14734","4073","57.5574759","25.7338654","Kreisā","V241","","Beverīnas novads","Trikātas pagasts",""
"147","Atpūtas","14771","4158","56.9801696","23.2445056","Kreisā","V1446","","Engures novads","Smārdes pagasts",""
"148","Atpūtas","14772","4158","56.9803476","23.2462544","Labā","V1446","","Engures novads","Smārdes pagasts",""
"149","Atpūtas","13805","2631","57.0340916","23.4384639","Kreisā","P128","","Engures novads","Lapmežciema pagasts",""
"150","Atpūtas","13806","2631","57.0342844","23.4375720","Labā","P128","","Engures novads","Lapmežciema pagasts",""
"151","Attīrīšanas iekārtas","15348","5597","56.9354666","23.6591027","Labā","","Mežmalas iela","Jūrmala","",""
"152","Attīrīšanas iekārtas","15349","5598","56.9355742","23.6587974","Kreisā","","Mežmalas iela","Jūrmala","",""
"153","Atvari","13765","2514","57.4643881","26.0991683","Labā","V244","","Smiltenes novads","Bilskas pagasts",""
"154","Atvari","13766","2514","57.4643938","26.0991822","Kreisā","V244","","Smiltenes novads","Bilskas pagasts",""
"157","Auces Meliorators","11694","303","56.4703057","22.9166544","Kreisā","P96","","Auces novads","Auces pilsēta","Auce"
"158","Auces Meliorators","11600","303","56.4704024","22.9169889","Labā","P96","","Auces novads","Auces pilsēta","Auce"
"159","Audari","14336","3607","56.4775765","21.6687980","Kreisā","P106","","Priekules novads","Priekules pagasts","Audari"
"160","Audari","14337","3607","56.4778625","21.6680931","Labā","P106","","Priekules novads","Priekules pagasts","Audari"
"161","Augstāres","15350","7637","57.1678783","25.8587557","Labā","","","Jaunpiebalgas novads","Zosēnu pagasts",""
"162","Augstežas","15055","4885","57.5212551","27.0660262","Kreisā","V386","","Alūksnes novads","Ziemera pagasts",""
"163","Augstežas","15056","4885","57.5212967","27.0661540","Labā","V386","","Alūksnes novads","Ziemera pagasts",""
"164","Augstkalne","14379","3660","55.9165750","27.1515534","Labā","P62","","Krāslavas novads","Ūdrīšu pagasts","Augstkalne"
"165","Augstkalne","14380","3660","55.9149122","27.1529862","Kreisā","P62","Stacijas iela 26","Krāslavas novads","Ūdrīšu pagasts","Augstkalne"
"166","Augškalni","11703","320","56.2987977","24.5516265","Labā","","","Bauskas novads","Brunavas pagasts",""
"167","Augšmukti","14969","4770","56.2602484","26.3643839","Kreisā","V682","","Vārkavas novads","Rožkalnu pagasts",""
"168","Augšmukti","14970","4770","56.2605363","26.3643330","Labā","V682","","Vārkavas novads","Rožkalnu pagasts",""
"171","Aurora","15351","5599","56.8340187","24.1039964","A/V","","","Olaines novads","Olaines pagasts",""
"172","Ausmas","14416","3706","57.1642510","24.7992569","Kreisā","P7","","Siguldas novads","",""
"173","Ausmas","14417","3706","57.1642963","24.8006827","Labā","P7","","Siguldas novads","",""
"174","Ausmas iela","11763","322","56.6105116","23.2855624","Kreisā","","Meža prospekts 36","Dobeles novads","Dobeles pilsēta","Dobele"
"175","Ausmas iela","11720","322","56.6109823","23.2853048","Labā","","Meža prospekts 39","Dobeles novads","Dobeles pilsēta","Dobele"
"176","Austrumi","12723","539","55.7087547","26.5625423","Kreisā","V691","","Daugavpils novads","Demenes pagasts",""
"177","Austrumi","12696","539","55.7091167","26.5608081","Labā","V691","","Daugavpils novads","Demenes pagasts",""
"178","Austrumi","12663","536","56.6016367","26.3350344","Kreisā","P62","","Madonas novads","Mētrienas pagasts",""
"179","Austrumi","12641","536","56.6017700","26.3342600","Labā","P62","","Madonas novads","Mētrienas pagasts",""
"180","Austrumi","12726","541","56.6702355","25.3525853","A/V","V996","","Kokneses novads","Kokneses pagasts",""
"181","Autoosta","15352","5602","56.3498653","25.5563385","A/V","","Biržu iela 2","Viesītes novads","Viesītes pilsēta","Viesīte"
"182","Autoosta","15353","5604","57.5087013","24.7213691","Labā","","Stacijas iela","Limbažu novads","Limbažu pilsēta","Limbaži"
"183","Auziņas","15354","5605","56.7842115","23.0186767","Kreisā","P104","","Jaunpils novads","Jaunpils pagasts",""
"184","Auziņas","14346","3620","56.7828434","23.0186653","Labā","P104","","Jaunpils novads","Jaunpils pagasts",""
"185","Aviators","13190","1079","56.7241279","24.2137395","Kreisā","V27","","Ķekavas novads","Ķekavas pagasts","Dzērumi"
"186","Aviators","13191","1079","56.7250828","24.2119395","Labā","V27","","Ķekavas novads","Ķekavas pagasts","Dzērumi"
"187","Avoti","14000","2897","56.5595081","23.6558355","Labā","V1056","","Jelgavas novads","Svētes pagasts",""
"188","Avoti","14001","2897","56.5601220","23.6565514","Kreisā","V1056","","Jelgavas novads","Svētes pagasts","Svēte"
"189","Avotiņi","8451","183","56.5777150","23.3591197","Labā","V1098","","Dobeles novads","Krimūnu pagasts",""
"190","Avotiņi","8449","183","56.5786584","23.3574199","Kreisā","V1098","","Dobeles novads","Krimūnu pagasts",""
"191","Avotiņi","8427","181","56.4945236","23.5505712","Kreisā","V1098","","Jelgavas novads","Zaļenieku pagasts",""
"192","Sporta iela","15355","7673","56.7525593","24.7843420","Labā","","Lielvārdes iela","Ķeguma novads","Rembates pagasts","Rembate"
"197","Katlakalna tautas nams","15360","5622","56.8755051","24.1792433","Kreisā","","Pļavniekkalna iela","Ķekavas novads","Ķekavas pagasts","Katlakalns"
"198","Katlakalna tautas nams","15361","5622","56.8755873","24.1787122","Labā","","Pļavniekkalna iela","Ķekavas novads","Ķekavas pagasts","Katlakalns"
"199","Veikals 'Top'","15362","5641","57.8581284","24.3568300","Kreisā","","Valdemāra iela","Salacgrīvas novads","Ainažu pilsēta","Ainaži"
"200","Veikals 'Top'","15363","5641","57.8585430","24.3570757","Labā","","Valdemāra iela","Salacgrīvas novads","Ainažu pilsēta","Ainaži"
"201","Brīvības laukums","15364","5646","56.9655362","23.1571239","Kreisā","","Brīvības laukums","Tukuma novads","Tukuma pilsēta","Tukums"
"202","Durbes iela","15365","7354","56.9681556","23.1862214","Kreisā","","Durbes iela","Tukuma novads","Tukuma pilsēta","Tukums"
"203","Durbes iela","15366","7354","56.9682934","23.1857861","Labā","","Durbes iela","Tukuma novads","Tukuma pilsēta","Tukums"
"204","Jāņu iela","15367","5651","56.9712148","23.1538949","Labā","","Kurzemes iela","Tukuma novads","Tukuma pilsēta","Tukums"
"205","Spāru iela","15368","5652","56.9687484","23.1852832","Kreisā","","L. Dzelzceļa iela","Tukuma novads","Tukuma pilsēta","Tukums"
"206","Revolūcijas iela","15369","5654","56.9683939","23.1395611","Labā","","Revolūcijas iela","Tukuma novads","Tukuma pilsēta","Tukums"
"208","Talsu iela","15371","5660","56.9659666","23.1402267","Kreisā","","Talsu iela","Tukuma novads","Tukuma pilsēta","Tukums"
"209","Tehnikas iela","15372","5684","56.9518426","23.1251278","Labā","","Tehnikas iela","Tukuma novads","Tukuma pilsēta","Tukums"
"210","Tehnikas iela","15373","5684","56.9521580","23.1252175","Kreisā","","Tehnikas iela","Tukuma novads","Tukuma pilsēta","Tukums"
"211","Tirgus iela","15374","5686","56.9641704","23.1300539","Kreisā","","Tirgus iela","Tukuma novads","Tukuma pilsēta","Tukums"
"212","Tirgus iela","15375","5686","56.9642471","23.1303584","Labā","","Tirgus iela","Tukuma novads","Tukuma pilsēta","Tukums"
"213","Veļķu iela","15376","5696","56.9661679","23.1232705","Labā","","Veļķu iela","Tukuma novads","Tukuma pilsēta","Tukums"
"214","Veļķu iela","15377","5696","56.9662641","23.1233173","Kreisā","","Veļķu iela","Tukuma novads","Tukuma pilsēta","Tukums"
"215","Ziemeļu iela","15378","5702","57.3861728","24.4116447","Labā","","Sidrabiņi-Sēklīši","Limbažu novads","Skultes pagasts","Vārzas"
"216","Cēsu iela","15379","5708","57.5139591","24.7160616","Kreisā","","Cēsu iela","Limbažu novads","Limbažu pilsēta","Limbaži"
"217","Ciema iela","15380","5722","57.5195387","24.7172157","Kreisā","","Ciema iela","Limbažu novads","Limbažu pilsēta","Limbaži"
"218","Ciema iela","15381","5722","57.5197574","24.7171441","Labā","","Ciema iela","Limbažu novads","Limbažu pilsēta","Limbaži"
"219","Dailes iela","15382","5724","57.5142958","24.7159388","Kreisā","","Dailes iela","Limbažu novads","Limbažu pilsēta","Limbaži"
"220","Sporta iela","15383","5740","57.5080420","24.7113842","Kreisā","","Sporta iela","Limbažu novads","Limbažu pilsēta","Limbaži"
"221","Sporta iela","15384","5740","57.5090260","24.7095091","Labā","","Sporta iela","Limbažu novads","Limbažu pilsēta","Limbaži"
"222","Uzvaras iela","15385","5745","56.7772929","24.6486079","Kreisā","","Uzvaras iela","Ogres novads","Ogresgala pagasts","Ciemupe"
"223","Vizbuļu iela","15386","5747","56.7986172","24.6339242","Kreisā","","Lazdu gatve","Ogres novads","Ogres pilsēta","Ogre"
"224","Jaunzemju iela","15387","5748","56.8592470","24.3723210","Kreisā","","Dienvidu iela","Salaspils novads","Salaspils pilsēta","Salaspils"
"225","Jaunzemju iela","15388","5748","56.8593470","24.3714620","Labā","","Dienvidu iela","Salaspils novads","Salaspils pilsēta","Salaspils"
"226","Atoms","15389","5749","56.8602120","24.3660740","Kreisā","","Dienvidu iela","Salaspils novads","Salaspils pilsēta","Salaspils"
"227","Atoms","15390","5749","56.8604650","24.3651630","Labā","","Dienvidu iela","Salaspils novads","Salaspils pilsēta","Salaspils"
"229","Ābeļu iela","15392","5753","56.8565530","24.3546889","Labā","","Ābeļu iela","Salaspils novads","Salaspils pilsēta","Salaspils"
"230","Ābeļu iela","15393","5753","56.8565668","24.3552381","Kreisā","","Gaismas iela","Salaspils novads","Salaspils pilsēta","Salaspils"
"231","b/n","15394","","56.8692421","24.3498358","Labā","","Meža iela","Salaspils novads","Salaspils pilsēta","Salaspils"
"232","Reaktors","15395","7366","56.8684190","24.3853683","Labā","","Miera iela","Salaspils novads","Salaspils pilsēta","Salaspils"
"233","Pamatskola","15396","5758","56.8558904","24.3351568","Labā","","Zinību iela","Salaspils novads","Salaspils pilsēta","Salaspils"
"237","PII Zeltrīti","15400","5769","56.8899591","24.0506797","Labā","","Vecozolu iela","Mārupes novads","","Tīraine"
"238","Oškalnu darbnīca","15401","5611","56.9156465","24.6079940","Kreisā","","","Ropažu novads","","Kākciems"
"239","Oškalnu darbnīca","15402","5611","56.9159426","24.6088042","Labā","","","Ropažu novads","","Kākciems"
"240","Pils iela","15403","5776","57.1577144","24.8519416","Kreisā","","Pils iela","Siguldas novads","Siguldas pilsēta","Sigulda"
"241","Pils iela","15404","5776","57.1576341","24.8517184","Labā","","Pils iela","Siguldas novads","Siguldas pilsēta","Sigulda"
"242","Attekas iela","15405","5790","57.0730740","24.3326200","Labā","","Attekas iela","Ādažu novads","","Ādaži"
"250","Rembates parks","14418","3711","56.7184704","24.7983233","Labā","A6","","Lielvārdes novads","Lielvārdes pilsēta","Lielvārde"
"251","Rembates parks","14419","3711","56.7186281","24.7965737","Kreisā","A6","","Lielvārdes novads","Lielvārdes pilsēta","Lielvārde"
"252","Laivu iela","14420","759","56.7215918","24.7795971","Labā","A6","","Lielvārdes novads","Lielvārdes pilsēta","Lielvārde"
"253","Laivu iela","14421","759","56.7218708","24.7780058","Kreisā","A6","","Lielvārdes novads","Lielvārdes pilsēta","Lielvārde"
