id,Stop_name,Stop_code,Common_code,Latitude,Longitude,Road_side,Road_number,Street,County,Parish,Village
"2560","Sotagi","14940","4702","57.5350726","24.6869463","Kreisā","P12","","Limbažu novads","Limbažu pagasts",""
"2561","Sotagi","14941","4702","57.5353471","24.6869985","Labā","P12","","Limbažu novads","Limbažu pagasts",""
"2562","Spēlmaņi","13683","2346","56.8472444","24.2496391","Kreisā","V26","","Salaspils novads","Salaspils pagasts",""
"2563","Spēlmaņi","13684","2346","56.8472508","24.2480899","Labā","V26","","Salaspils novads","Salaspils pagasts",""
"2564","Spilve","15851","6657","56.9645550","23.9626886","Labā","","Kleistu iela","Mārupes novads","","Spilve"
"2565","Spilve","15852","6657","56.9647770","23.9632440","Kreisā","","Kleistu iela","Mārupes novads","","Spilve"
"2566","Spivakišķi","15202","5200","55.7734335","26.5355082","Labā","V674","","Daugavpils novads","Demenes pagasts",""
"2567","Spivakišķi","15203","5200","55.7741762","26.5350227","Kreisā","V674","","Daugavpils novads","Demenes pagasts",""
"2568","Spodrības iela","12994","584","56.6281240","23.2957196","Labā","P97","Brīvības iela 45","Dobeles novads","Dobeles pilsēta","Dobele"
"2569","Spodrības iela","12993","584","56.6288616","23.2982532","Kreisā","P97","Brīvības iela 53","Dobeles novads","Dobeles pilsēta","Dobele"
"2570","Siguldas sporta klubs","15853","6658","57.1405659","24.8665049","A/V","","Gāles iela","Siguldas novads","Siguldas pilsēta","Sigulda"
"2571","Sprīdīši","14324","3590","56.7195093","22.3362994","Kreisā","V1146","","Saldus novads","Lutriņu pagasts",""
"2572","Sprīdīši","14325","3590","56.7197057","22.3352744","Labā","V1146","","Saldus novads","Lutriņu pagasts",""
"2573","Sprīdīšu pansija","15102","4972","57.7728359","24.5038035","Labā","P12","","Salacgrīvas novads","Salacgrīvas pagasts",""
"2574","Sprīdīšu pansija","15103","4972","57.7729195","24.5048802","Kreisā","P12","","Salacgrīvas novads","Salacgrīvas pagasts",""
"2575","Sprinģišķi","13829","2661","55.7506417","26.7711248","Kreisā","V690","","Daugavpils novads","Skrudalienas pagasts","Silene"
"2576","Sprinģišķi","13830","2661","55.7504261","26.7710141","Labā","V690","","Daugavpils novads","Skrudalienas pagasts","Silene"
